date,white,white_elo,black,black_elo,opening
2021.03.04,EmilieSage,971,idk652315,822,"Bongcloud Attack"
2021.03.04,kisgels,1274,rsc_aprendiz,1265,"Bongcloud Attack"
2021.03.04,adrianvilchezgo,833,Flavio_Campana,1227,"Bongcloud Attack"
2021.03.04,jayemay,1315,matc_83,1264,"Bongcloud Attack"
2021.03.04,jayemay,1406,Brqa,1328,"Bongcloud Attack"
2021.03.05,FRANCHI2020,1022,Brianna2014,969,"Bongcloud Attack"
2021.03.05,Gustalfil,1307,ThiagoEmanoel,1343,"Bongcloud Attack"
2021.03.05,hilfigertout,1186,StevieJack,1103,"Bongcloud Attack"
2021.03.05,SlovenijanGambit,968,chessinitup,1028,"Bongcloud Attack"
2021.03.05,pintimilyoner,1162,r_lykos,1160,"Bongcloud Attack"
2021.03.05,pintimilyoner,1156,RuralPro,1209,"Bongcloud Attack"
2021.03.05,sofiaajedrez,1380,irrrlrvant,1323,"Bongcloud Attack"
2021.03.05,Gatolocoses,1001,VinoliP,888,"Bongcloud Attack"
2021.03.05,Kepereza,968,Evankhell05,1256,"Bongcloud Attack"
2021.03.05,Bluebine,1161,arjunvarma2,1089,"Bongcloud Attack"
2021.03.05,magicfatkid,1111,sean075,1112,"Bongcloud Attack"
2021.03.05,wesleyshoe,2124,Mrkool1_2020,2176,"Bongcloud Attack"
2021.03.05,kisgels,1257,vinay_matt,1218,"Bongcloud Attack"
2021.03.05,Joker3110,1527,srdsosee,1540,"Bongcloud Attack"
2021.03.05,isaeldar,1367,Rsp89,1368,"Bongcloud Attack"
2021.03.05,blund3rist,1889,sajid2001,1753,"Bongcloud Attack"
2021.03.05,XxChessinator69xX,1258,murugantm,1249,"Bongcloud Attack"
2021.03.05,pratikkhadke_pk,1641,BSV1969,1619,"Bongcloud Attack"
2021.03.05,pratikkhadke_pk,1633,dimagaponov999,1598,"Bongcloud Attack"
2021.03.05,pratikkhadke_pk,1638,mabu6,1663,"Bongcloud Attack"
2021.03.05,pintimilyoner,1173,FritzBob,1155,"Bongcloud Attack"
2021.03.05,bellymonster,1983,Mikola_Ka,1921,"Bongcloud Attack"
2021.03.05,JerbyDelana,1077,Victor-Saunier,1065,"Bongcloud Attack"
2021.03.05,EthansWinn,1427,pippo--888,1489,"Bongcloud Attack"
2021.03.05,BliTzer3,2147,chipiyu_chess_slayer,1941,"Bongcloud Attack"
2021.03.05,AlejoClemente,1538,selimcinarballi,1478,"Bongcloud Attack"
2021.03.05,AsmitKhare,1060,Nabukas,990,"Bongcloud Attack"
2021.03.05,RamDejin,1865,benhemsi,1831,"Bongcloud Attack"
2021.03.05,Beren61,893,Eymensrky,1328,"Bongcloud Attack"
2021.03.05,IsaacH4TLR,1216,Karta_dharta,1281,"Bongcloud Attack"
2021.03.05,RamDejin,1854,Atlantik07,1875,"Bongcloud Attack"
2021.03.05,toasterdog,1146,bbdanisa,1287,"Bongcloud Attack"
2021.03.05,CiemnySmok,1084,Very-lucky,1079,"Bongcloud Attack"
2021.03.05,kenzhebekov_asanali,1103,Goretska_05,1710,"Bongcloud Attack"
2021.03.05,MadCatTR,979,Galvarinos_pupil,908,"Bongcloud Attack"
2021.03.05,ziombelomza,1406,Raam96,1437,"Bongcloud Attack"
2021.03.05,MadCatTR,980,Pureflex,1063,"Bongcloud Attack"
2021.03.05,frotis-man,1108,Hannan30,1115,"Bongcloud Attack"
2021.03.05,AngrySeas,2013,garry64,1961,"Bongcloud Attack"
2021.03.05,ACastillo-DSA,1033,ARiviere-DSA,1243,"Bongcloud Attack"
2021.03.05,frotis-man,1106,AqvaZlo,1034,"Bongcloud Attack"
2021.03.05,sam33321,1582,crepperx28,1478,"Bongcloud Attack"
2021.03.05,hilfigertout,1287,Rekoko,1278,"Bongcloud Attack"
2021.03.05,kenobiwanobi,1127,Artemred11,1164,"Bongcloud Attack"
2021.03.05,hilfigertout,1283,rosta000,1191,"Bongcloud Attack"
2021.03.05,Super_Nova_Cat,1681,Civibin,1694,"Bongcloud Attack"
2021.03.05,Jurado_oscaroman-19,1749,Iker_Pablo1974,1862,"Bongcloud Attack"
2021.03.05,MoskRaro,1041,rasmi1,1134,"Bongcloud Attack"
2021.03.05,Stevie_Madden,1220,jacobclimbs,1232,"Bongcloud Attack"
2021.03.05,Booker5,844,KiNgurUbot,856,"Bongcloud Attack"
2021.03.05,ZuhairMhmd,1260,Kuridak,1313,"Bongcloud Attack"
2021.03.05,jasonf7,993,Rasheedgee,1096,"Bongcloud Attack"
